label,pmid,sentence,design
0,27901241,States of frailty were highly present in the hospital environment.,Cross-Sectional
0,28746656,The decline in mortality due to NCDs confirms that improvements in disease control have been achieved in Brazil.,Cross-Sectional
0,28767991,The prevalence of asthma was 4.57% and QOL was impaired among the asthmatic obese individuals.,Cross-Sectional
0,23986274,A considerable number of patients treated with statins did not achieve the treatment goal values.,Cross-Sectional
0,28150129,A sizeable minority of BRCA1/2 mutation noncarriers choose to undergo CPM after learning their mutation status through pre-surgical genetic testing.,Prospective
0,28834447,"Careful assessment of findings as BPE versus NME can improve PPVs, particularly in younger women.",Retrospective
0,23182924,"Childrens dietary fatty acid intake, but not maternal dietary counselling was shown to be related to blood apolipoproteins in children.",RCT
1,27071325,Data show that carry on the control activities of production of gluten free meal in school canteens would be appropriate.,Retrospective
1,27412739,"EN is suitable for a variety of childrens digestive diseases, which  can improve the nutritional status of the patients and was safe for clinical application.",Retrospective
0,23934423,"Familial aggregation of the disorder was demonstrated, the first Cuban epidemiological evidence of genetic and enviromental contributions to pre-eclampsia risk.",Case-Control
0,19793249,Formal training and personal beliefs are important factors related to dentists behavior toward patients with diabetes in the dental setting.,Cross-Sectional
0,20969785,Height and weight were the most reliable measurements under the studys conditions.,Prospective
1,27421202,"HeRO catheters offer a reliable, and possibly the last, alternative  in hemodialysis access-challenged patients.",Prospective
0,28267445,"In a prospective study of patients with esophagitis or Barretts esophagus, we found belt compression increased acid reflux following a meal.",Prospective
0,28687275,"In a randomized controlled trial of 230 infants with genetic risk factors for celiac disease, we did not find evidence that weaning to a diet of extensively hydrolyzed formula compared with cows milk-based formula would decrease the risk for celiac disease later in life.",RCT
0,28473136,"In patients with DM and chronic angina with incomplete revascularization after percutaneous coronary intervention, ranolazines effect on glucose control and angina at 6 months was proportionate to baseline HbA1c, but the\xa0effect on angina dissipated by 12 months.",RCT
0,28601706,"In the long term, breast cancer survivors are at increased risk of mild LV systolic dysfunction, increased NT-proBNP levels, and cardiovascular disease compared with matched controls, even after adjustment for cardiovascular  risk factors.",Cross-Sectional
0,28595816,"In this study, obese patients tended to have more favorable pathologic features.",Retrospective
