label,pmid,sentence,rel_loc
0,26261577,"Aldosterone-to-renin ratio (ARR) is a screening test for primary aldosteronism, but it was impacted by a bunch of clinical covariates. ",0.00
0,26261577,"The ARR is associated with chronic kidney disease (CKD), renal artery stenosis, renin adenoma. ",0.08
0,26261577,This study aims to investigate relationship between ARR and primary aldosteronism in CKD patients. ,0.17
0,26261577,"A retrospective observational analysis involves 253 attendees from Urology Department of Chengdu Military General Hospital (China), comprising 146 patients with confirmed primary aldosteronism, 56 patients with essential hypertension, and 55 patients with chronic kidney disease accounting for primary kidney disease. ",0.25
0,26261577,"Blood samples were drawn from patients with particular restriction for measuring serum aldosteronism, plasma renin activity, and serum potassium. ",0.33
0,26261577,Receiver operating characteristic (ROC) curve of ARR was tested to establish cutoff values and to assess sensitivity and specificity. ,0.42
0,26261577,"The results showed that LogARR values were significantly higher (P < 0.001), and PRA and serum potassium values were significantly lower (P < 0.001) in primary aldosteronism patients. ",0.50
0,26261577,"By contrast, significantly higher serum aldosterone and plasma renin were observed in CKDs compared with the other two groups (P < 0.001). ",0.58
0,26261577,"There was a significantly positive correlation between LogARR and serum potassium (r = -0.0345, P < 0.001, R(2) = 0.093). ",0.67
0,26261577,"The AUC for plasma renin activity, logARR, and serum aldosterone are 0.855, 0.84, and 0.501, respectively. ",0.75
0,26261577,ROC curve of logARR and plasma renin activity in detection of primary aldosteronism with higher sensitivity and specificity. ,0.83
0,26261577,"In conclusion, this study indicated that the ARR act as the biomarker for the primary aldosteronism, and could distinguish from chronic kidney disease.",0.92
0,28723795,Robot-assisted partial nephrectomy (RAPN) has emerged as an alternative to laparoscopic partial nephrectomy (LPN) for removal of renal tumors. ,0.00
0,28723795,"Several advantages of robotic surgery have been reported, but there is no comparative study on postoperative pain between the 2 techniques. ",0.09
0,28723795,"Therefore, we compared the postoperative numerical rating scale (NRS) of pain intensity between patients who underwent LPN and those who underwent RAPN.We included 705 patients who underwent either LPN (n\u200a=\u200a200) or RAPN (n\u200a=\u200a505) for renal tumors between January 2000 and September 2016. ",0.18
0,28723795,"After 1:1 propensity score matching, the final analysis included 142 patients each in the LPN and RAPN groups. ",0.27
0,28723795,The primary endpoint was postoperative NRS of pain intensity. ,0.36
0,28723795,"The secondary endpoints were opioid requirement, opioid-related complications, and duration of hospital stay.",0.45
0,28723795,Preoperative and intraoperative values of propensity score matched patients (n = 284) were not significantly different between the LPN and RAPN groups.,0.55
0,28723795,There was no significant difference in NRS of pain intensity between the 2 groups. ,0.64
0,28723795,"Opioid requirement was different between the 2 groups on postoperative day (POD) 0 (12.4 vs 11.3\u200amg of morphine-equivalent dose), but not from POD 1 to POD 4. ",0.73
0,28723795,The incidence of opioid-related complications and duration of hospital stay were not significantly different between the 2 groups.Postoperative pain was not significantly different between patients who underwent RAPN and those who underwent LPN. ,0.82
0,28723795,This result provides a potentially useful knowledge of postoperative pain characteristics in RAPN and LPN.,0.91
